object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
89,1,1,0,random class 1,0.53,0.47,1.9337449,1.4902909,1.2177879,-0.061164904,0.4827671,0.8736102,-0.9926779,0.0619151,-0.10371631,-0.10416048,-0.8735573,0.4754452,148.0,27.0,0.0,0.0,33.0,8.0,6.0,28.77027,3.4864864,2.0608108
90,1,2,0,random class 1,0.52,0.48,3.1759486,1.8432405,1.2234576,0.10838993,-0.32774413,-0.9385283,-0.26669177,-0.9190697,0.29014894,0.9576675,-0.21884856,0.18702456,309.0,50.0,0.0,0.0,56.0,8.0,14.0,52.242718,2.6375403,4.618123
91,1,3,0,random class 1,0.75,0.25,3.1241908,1.3427413,1.0627518,0.23834494,0.95624524,0.1696664,-0.10808539,0.19973402,-0.9738706,0.96514726,-0.21377866,-0.15096174,175.0,59.0,0.0,0.0,66.0,5.0,12.0,62.125713,1.2,4.0742855
92,1,4,0,random class 1,0.77,0.23,1.7568496,1.2349062,0.8466426,0.37711442,0.8291046,-0.4127593,-0.30014887,-0.31220612,-0.9013534,0.87618226,-0.4638026,-0.13111739,72.0,90.0,0.0,0.0,95.0,4.0,8.0,91.875,1.0694444,1.8888888
93,1,5,0,random class 1,0.54,0.46,2.941887,1.1445264,0.8231394,-0.16165249,-0.9748575,0.15336664,-0.1590868,0.17912085,0.97087955,0.9739404,-0.1325465,0.18404229,114.0,132.0,0.0,0.0,137.0,4.0,11.0,134.11403,0.9385965,3.9122808
94,1,6,0,random class 1,0.54,0.46,1.5916336,1.3248626,0.82776004,0.09580515,-0.349712,-0.93194574,-0.76301336,-0.62705976,0.15686506,0.6392433,-0.6960586,0.3269105,69.0,146.0,1.0,0.0,150.0,8.0,6.0,148.08696,3.1884058,1.5362319
95,1,7,0,random class 1,0.51,0.49,2.5221164,1.5496995,0.8703515,0.09092029,0.5828111,0.80750525,0.2878461,-0.7916327,0.5389455,0.953351,0.18343614,-0.23973538,115.0,108.0,2.0,0.0,114.0,9.0,9.0,111.23478,4.791304,3.1826086
96,1,8,0,random class 1,0.51,0.49,4.22817,1.2624897,0.9223586,-0.16624519,-0.51897955,-0.8384645,-0.26969472,-0.79394656,0.5448978,0.94848686,-0.31671607,0.007976236,205.0,119.0,0.0,0.0,126.0,8.0,16.0,121.92683,2.1512196,6.243902
97,1,9,0,random class 2,0.47,0.53,2.1809757,1.5246152,1.313884,0.20944624,-0.76622546,0.60747904,0.9763856,0.19752288,-0.087498024,-0.052947793,0.6114599,0.78950197,196.0,39.0,4.0,0.0,46.0,13.0,6.0,41.69898,8.096939,1.9234694
98,1,10,0,random class 1,0.5,0.5,4.273293,1.2372507,1.2120477,0.0049073338,-0.21892822,-0.97572863,-0.13747433,-0.96662354,0.21619385,0.9904932,-0.1330767,0.034840554,263.0,67.0,2.0,0.0,73.0,9.0,18.0,69.543724,5.0038023,7.2661595
99,1,11,0,random class 2,0.49,0.51,4.299281,1.5197101,1.1523635,0.26658884,0.9551055,-0.12924361,-0.34747294,0.2203213,0.911439,0.8989955,-0.19807081,0.39060852,311.0,138.0,2.0,0.0,146.0,10.0,15.0,142.08682,6.0,7.1125402
100,1,12,0,random class 2,0.44,0.56,5.4184785,1.3664385,1.3282006,-0.14049156,0.7634053,0.63045573,-0.26755562,-0.64235336,0.7181895,0.95324504,-0.06778242,0.2944986,387.0,126.0,3.0,0.0,133.0,12.0,20.0,129.1628,7.255814,9.687339
101,1,13,0,random class 1,0.54,0.46,1.7048469,0.9603816,0.8842023,0.73894846,0.63566566,-0.22334816,-0.6443022,0.7636342,0.04168346,0.19705303,0.11310177,0.97384703,57.0,81.0,8.0,0.0,88.0,15.0,4.0,84.03509,10.385965,0.8947368
102,1,14,0,random class 1,0.56,0.44,2.3287466,1.6763258,0.7898043,-0.12616634,0.382332,-0.9153711,0.53524595,-0.7506672,-0.38731188,0.8352208,0.5388144,0.10993271,129.0,100.0,7.0,0.0,105.0,16.0,9.0,101.75969,10.2015505,4.5116277
103,1,15,0,random class 2,0.48,0.52,4.1648,2.046488,0.8127376,0.26519224,0.1277745,-0.95569175,-0.46909887,-0.8488672,-0.24366115,0.84238905,-0.512931,0.16517413,256.0,94.0,6.0,0.0,100.0,16.0,15.0,96.19531,9.90625,6.6796875
104,1,16,0,random class 2,0.17,0.83,6.249941,3.442689,1.7194177,0.6782301,0.08789227,-0.72957444,0.72802186,-0.21539149,0.65083843,0.09994046,0.9725644,0.21007249,1025.0,9.0,7.0,0.0,26.0,25.0,18.0,18.040976,14.793171,7.597073
105,1,17,0,random class 1,0.52,0.48,4.1668477,1.4372325,1.2348359,0.23895451,0.7785412,-0.58032256,-0.19509874,0.62394184,0.7567252,0.95122933,-0.067602694,0.30098614,319.0,57.0,9.0,0.0,65.0,16.0,15.0,60.47022,11.291536,6.557994
106,1,18,0,random class 1,0.58,0.42,3.0601242,1.3576372,1.0420017,-0.24294844,0.034731954,-0.9694172,-0.21680444,-0.97602296,0.019365363,0.94550085,-0.21487874,-0.2446533,167.0,119.0,10.0,0.0,125.0,17.0,11.0,121.20359,12.778443,3.8682635
107,1,19,0,random class 1,0.55,0.45,3.1655033,1.7433132,1.0341178,-0.10202714,-0.8286365,-0.5504107,-0.21544461,-0.52176005,0.82543933,0.9711715,-0.20280023,0.1252916,256.0,134.0,11.0,0.0,141.0,17.0,13.0,136.97656,13.230469,4.78125
108,1,20,0,random class 2,0.27,0.73,8.679162,2.487893,1.8822445,-0.07434925,0.3044352,0.949627,-0.00037214434,-0.952271,0.30525368,0.9972322,0.022341982,0.070913926,1082.0,62.0,12.0,0.0,72.0,25.0,30.0,67.69316,17.921442,15.791127
109,1,21,0,random class 1,0.73,0.27,2.631058,1.6394318,1.3662422,-0.11058476,-0.9114821,0.39619613,-0.46213746,-0.30576515,-0.83242816,0.8798863,-0.27515095,-0.38741708,217.0,127.0,17.0,0.0,134.0,25.0,10.0,129.91705,19.262672,2.7741935
110,1,22,0,random class 2,0.24,0.76,4.687076,2.834966,2.2550573,-0.12930298,0.04402492,-0.99062735,-0.31184557,-0.9501316,-0.0015211625,0.9412933,-0.30872604,-0.13658382,1155.0,47.0,17.0,0.0,58.0,31.0,20.0,52.256275,22.35238,8.380953
111,1,23,0,random class 1,0.63,0.37,2.3249927,1.5430752,1.4556793,-0.023010314,-0.95813805,0.28538054,0.053830832,-0.28622946,-0.95664775,0.99828494,-0.0066504935,0.0581636,239.0,38.0,20.0,0.0,46.0,27.0,10.0,41.200836,22.974895,4.2217574
112,1,24,0,random class 2,0.22,0.78,7.3307605,3.2197356,1.9988078,-0.29354304,0.19132662,-0.9366038,0.16792156,-0.95421183,-0.2475522,0.94108176,0.22994319,-0.2479744,1454.0,108.0,20.0,0.0,122.0,36.0,26.0,114.35901,27.550894,13.718707
113,1,25,0,random class 2,0.24,0.76,7.907203,2.957864,1.9612176,-0.09374278,0.06343624,-0.9935734,-0.32762516,-0.9443508,-0.0293824,0.9401458,-0.32276523,-0.109309375,1098.0,133.0,14.0,0.0,144.0,31.0,28.0,138.67941,23.600182,15.050091
114,1,26,0,random class 2,0.43,0.57,4.740446,2.1352372,1.0976118,0.09155269,0.5322051,-0.84165066,-0.20668097,0.8369507,0.5067509,0.97411555,0.12755877,0.18662176,448.0,72.0,27.0,0.0,80.0,37.0,20.0,74.908485,31.075893,7.993304
115,1,27,0,random class 1,0.5,0.5,1.8963548,1.772172,1.3508205,-0.43369323,0.88814,0.15204448,0.86573696,0.45749947,-0.20296249,0.24981937,-0.04360706,0.96731,201.0,104.0,34.0,0.0,112.0,42.0,6.0,107.114426,37.66169,1.7313433
116,1,28,0,random class 2,0.23,0.77,5.511676,2.609152,1.7272414,-0.06209905,-0.3594182,-0.93110806,-0.844782,-0.47786707,0.2408037,0.5314951,-0.80153704,0.27395493,962.0,121.0,28.0,0.0,130.0,47.0,17.0,125.33056,37.284824,5.889813
117,1,29,0,random class 2,0.44,0.56,5.7460895,2.2549808,1.1570415,-0.014772668,0.08783957,-0.9960251,-0.49452594,-0.8664138,-0.06907451,0.86903733,-0.49153984,-0.056238193,563.0,145.0,28.0,0.0,150.0,44.0,22.0,147.66252,35.619892,9.557727
118,1,30,0,random class 1,0.65,0.35,2.8478515,2.0280159,1.5982977,-0.32020754,0.9460118,-0.050287135,0.03915184,-0.039821856,-0.99843943,0.94653803,0.32167667,0.024286846,424.0,65.0,40.0,0.0,75.0,47.0,13.0,69.79953,42.889153,5.5070753
119,1,31,0,random class 2,0.22,0.78,5.1244607,2.9015167,1.6851503,0.17696376,-0.061367054,-0.98230237,0.9488769,-0.254411,0.18683584,0.26137412,0.9651472,-0.013208246,1019.0,91.0,37.0,0.0,100.0,58.0,15.0,95.05888,47.41413,6.530913
120,1,32,0,random class 2,0.26,0.74,4.831654,2.6817303,1.8425841,-0.16556127,-0.5394068,-0.82560873,-0.6221569,-0.59242153,0.5118178,0.76518637,-0.5983954,0.23751359,948.0,76.0,15.0,4.0,88.0,30.0,23.0,81.52953,22.314346,14.149789
121,1,33,0,random class 2,0.22,0.78,5.215974,2.8311672,1.5812204,0.15855567,0.084768295,-0.98370445,-0.69446105,-0.69863605,-0.17213802,0.7018432,-0.7104379,0.051904425,959.0,117.0,38.0,4.0,125.0,57.0,24.0,120.45047,47.903023,14.043796
122,1,34,0,random class 2,0.16,0.84,4.684804,3.4027438,1.4239832,0.32389387,0.20292354,-0.9240751,-0.29887566,-0.9047636,-0.3034405,0.89764476,-0.3744661,0.2323985,906.0,58.0,28.0,5.0,67.0,46.0,24.0,61.96247,35.331127,14.633554
123,1,35,0,random class 1,0.56,0.44,3.7305658,1.0894343,0.792408,-0.017414385,-0.39002988,-0.9206375,-0.0132286,0.92078644,-0.38984275,0.99976087,0.0053898734,-0.02119448,142.0,0.0,0.0,6.0,4.0,4.0,21.0,0.9084507,1.2253522,12.767606
124,1,36,0,random class 1,0.55,0.45,3.635939,1.0948229,0.6273223,-0.14155143,-0.59331495,-0.792427,-0.5543681,-0.6156837,0.5600086,0.82014585,-0.51856625,0.24176393,90.0,144.0,10.0,6.0,149.0,19.0,19.0,145.27777,13.677778,12.388889
